field_count,name,habitat,mon,year,sex,age,soil,slope,aspect,origarea,agescale,slopescale,aspectscale,origareascale
4,Bruiser,Pasture,Apr,2010,male,4,AminSP,4.82,106.99,2.7833,-0.555620328,-2.112200069,-60.93379175,-0.670982628
1,Bruiser,Uncultivated,Apr,2010,male,4,AminDP,11.52,301.68,1.5972,-0.555620328,4.587799931,133.7562083,-1.857082628
3,Bruiser,Pasture,Apr,2010,male,4,AminDP,5.45,207.44,1.0495,-0.555620328,-1.482200069,39.51620825,-2.404782628
0,Bruiser,Uncultivated,Apr,2010,male,5,AminDW,7.12,123.71,0.5637,0.444379672,0.187799931,-44.21379175,-2.890582628
7,Carla,Pasture,Apr,2010,female,4,AminDP,3.77,161.09,2.3074,-0.555620328,-3.162200069,-6.833791747,-1.146882628
0,Carla,Pasture,Apr,2010,female,5,AminDP,6.79,115.25,1.3638,0.444379672,-0.142200069,-52.67379175,-2.090482628
13,Carla,Pasture,Apr,2010,female,4,AminDP,6.09,167.64,4.4694,-0.555620328,-0.842200069,-0.283791747,1.015117372
0,Carla,Pasture,Apr,2010,female,5,AminDP,6.93,201.24,0.2248,0.444379672,-0.002200069,33.31620825,-3.229482628
17,Carla,Pasture,Apr,2010,female,4,AminSP,5.12,137.5,4.1818,-0.555620328,-1.812200069,-30.42379175,0.727517372
0,Carla,Human,Apr,2010,female,5,AminSP,8.19,108.72,1.508,0.444379672,1.257799931,-59.20379175,-1.946282628
2,Carla,Pasture,Apr,2010,female,4,AminDW,4.56,186.61,3.6856,-0.555620328,-2.372200069,18.68620825,0.231317372
2,Carla,Uncultivated,Apr,2010,female,4,AminDP,5.81,169.59,0.6831,-0.555620328,-1.122200069,1.666208253,-2.771182628
1,Carla,Pasture,Apr,2010,female,4,AminDP,4.7,223.19,1.281,-0.555620328,-2.232200069,55.26620825,-2.173282628
0,Dolly,Woodland,Apr,2010,female,5,AminDP,3.1,144.96,1.5976,0.444379672,-3.832200069,-22.96379175,-1.856682628
31,Dolly,Pasture,Apr,2010,female,4,AminDP,5.55,227.15,6.1321,-0.555620328,-1.382200069,59.22620825,2.677817372
2,Dolly,Pasture,Apr,2010,female,4,AminDP,4.33,158.99,2.2843,-0.555620328,-2.602200069,-8.933791747,-1.169982628
0,Dolly,Pasture,Apr,2010,female,5,AminDP,7.29,101.24,0.7448,0.444379672,0.357799931,-66.68379175,-2.709482628
9,Dolly,Pasture,Apr,2010,female,4,AminDP,7.06,166.06,3.683,-0.555620328,0.127799931,-1.863791747,0.228717372
1,Dolly,Pasture,Apr,2010,female,4,AminDP,4.11,153.71,5.733,-0.555620328,-2.822200069,-14.21379175,2.278717372
2,Dolly,Pasture,Apr,2010,female,4,AminDP,5.3,186.15,1.5063,-0.555620328,-1.632200069,18.22620825,-1.947982628
2,Dolly,Pasture,Apr,2010,female,4,AminDP,3.26,188.07,0.276,-0.555620328,-3.672200069,20.14620825,-3.178282628
1,Dolly,Pasture,Apr,2010,female,4,AminDP,7.1,109.82,1.2143,-0.555620328,0.167799931,-58.10379175,-2.239982628
0,Dolly,Pasture,Apr,2010,female,5,AminDP,6.43,137.98,0.4904,0.444379672,-0.502200069,-29.94379175,-2.963882628
2,Dolly,Woodland,Apr,2010,female,4,AminSP,7.2,139.69,37.1236,-0.555620328,0.267799931,-28.23379175,33.66931737
0,Dolly,Pasture,Apr,2010,female,5,AminDP,6.59,167.12,1.6068,0.444379672,-0.342200069,-0.803791747,-1.847482628
0,Dolly,Human,Apr,2010,female,5,AminDP,5.91,154.37,0.482,0.444379672,-1.022200069,-13.55379175,-2.972282628
0,Dolly,Pasture,Apr,2010,female,5,AminDP,5.33,273.95,1.077,0.444379672,-1.602200069,106.0262083,-2.377282628
2,Dolly,Pasture,Apr,2010,female,4,AminDP,4.54,172.96,1.4756,-0.555620328,-2.392200069,5.036208253,-1.978682628
0,George,Arable,Apr,2010,male,4,AminDP,5.89,238.32,5.6196,-0.555620328,-1.042200069,70.39620825,2.165317372
6,George,Pasture,Apr,2010,male,3,AminDP,7.4,182.71,2.9881,-1.555620328,0.467799931,14.78620825,-0.466182628
